tolerance,threshold_ratio,min_length,gap_penalty,mismatch_score,match_score,auc
0.1,0.5,3,0,0,3,0.5917063492063492
0.1,0.5,3,0,-1,1,0.545079365079365
0.1,0.5,3,0,-1,2,0.545079365079365
0.1,0.5,3,0,-1,3,0.545079365079365
0.1,0.5,3,0,-2,1,0.545079365079365
0.1,0.5,3,0,-2,2,0.545079365079365
0.1,0.5,3,0,-2,3,0.545079365079365
0.1,0.5,3,0,-3,1,0.545079365079365
0.1,0.5,3,0,-3,2,0.545079365079365
0.1,0.5,3,0,-3,3,0.545079365079365
0.1,0.5,3,-1,0,1,0.5925925925925926
0.1,0.5,3,-1,0,2,0.598584656084656
0.1,0.5,3,-1,0,3,0.595925925925926
0.1,0.5,3,-1,-1,1,0.4281613756613756
0.1,0.5,3,-1,-1,2,0.5080291005291006
0.1,0.5,3,-1,-1,3,0.5581878306878307
0.1,0.5,3,-1,-2,1,0.49080687830687825
0.1,0.5,3,-1,-2,2,0.48025132275132276
0.1,0.5,3,-1,-2,3,0.5049735449735451
0.1,0.5,3,-1,-3,1,0.4974603174603173
0.1,0.5,3,-1,-3,2,0.539973544973545
0.1,0.5,3,-1,-3,3,0.534351851851852
0.1,0.5,3,-2,0,1,0.5945238095238095
0.1,0.5,3,-2,0,2,0.5925925925925926
0.1,0.5,3,-2,0,3,0.5952513227513228
0.1,0.5,3,-2,-1,1,0.42482804232804233
0.1,0.5,3,-2,-1,2,0.4968121693121693
0.1,0.5,3,-2,-1,3,0.5327116402116403
0.1,0.5,3,-2,-2,1,0.4964417989417989
0.1,0.5,3,-2,-2,2,0.4281613756613756
0.1,0.5,3,-2,-2,3,0.47078042328042324
0.1,0.5,3,-2,-3,1,0.49265873015873013
0.1,0.5,3,-2,-3,2,0.4967063492063492
0.1,0.5,3,-2,-3,3,0.474973544973545
0.1,0.5,3,-3,0,1,0.5907010582010582
0.1,0.5,3,-3,0,2,0.5923412698412698
0.1,0.5,3,-3,0,3,0.5925925925925926
0.1,0.5,3,-3,-1,1,0.4259920634920636
0.1,0.5,3,-3,-1,2,0.49267195767195765
0.1,0.5,3,-3,-1,3,0.5134656084656085
0.1,0.5,3,-3,-2,1,0.48972222222222217
0.1,0.5,3,-3,-2,2,0.4297883597883597
0.1,0.5,3,-3,-2,3,0.44968253968253974
0.1,0.5,3,-3,-3,1,0.4893650793650794
